UMUR_KSH,JANTINA,NEGERI,DAERAH,STRATA,Mean(TOTAL_PAKW_MAKANAN),Mean(p_rent),Mean(p_lain2)
0-5 BULAN,LELAKI,JOHOR,BATU PAHAT,BANDAR,0,463.36,537.08
0-5 BULAN,LELAKI,JOHOR,BATU PAHAT,LUAR BANDAR,0,383.49,449.01
0-5 BULAN,LELAKI,JOHOR,JOHOR BAHRU,BANDAR,0,741.36,635.83
0-5 BULAN,LELAKI,JOHOR,JOHOR BAHRU,LUAR BANDAR,0,481.16,471.03
0-5 BULAN,LELAKI,JOHOR,KLUANG,BANDAR,0,411.76,577.29
0-5 BULAN,LELAKI,JOHOR,KLUANG,LUAR BANDAR,0,368.68,560.63
0-5 BULAN,LELAKI,JOHOR,KOTA TINGGI,BANDAR,0,518.62,545.75
0-5 BULAN,LELAKI,JOHOR,KOTA TINGGI,LUAR BANDAR,0,453.12,468.7
0-5 BULAN,LELAKI,JOHOR,MERSING,BANDAR,0,353.06,492.79
0-5 BULAN,LELAKI,JOHOR,MERSING,LUAR BANDAR,0,349.27,523.52
0-5 BULAN,LELAKI,JOHOR,MUAR,BANDAR,0,470.15,466.74
0-5 BULAN,LELAKI,JOHOR,MUAR,LUAR BANDAR,0,366.12,409.1
0-5 BULAN,LELAKI,JOHOR,PONTIAN,BANDAR,0,541.86,532.4
0-5 BULAN,LELAKI,JOHOR,PONTIAN,LUAR BANDAR,0,382.86,447.32
0-5 BULAN,LELAKI,JOHOR,SEGAMAT,BANDAR,0,456.07,545.87
0-5 BULAN,LELAKI,JOHOR,SEGAMAT,LUAR BANDAR,0,413.55,481.78
0-5 BULAN,LELAKI,JOHOR,KULAI,BANDAR,0,602.81,582.33
0-5 BULAN,LELAKI,JOHOR,KULAI,LUAR BANDAR,0,397.68,484.58
0-5 BULAN,LELAKI,JOHOR,TANGKAK,BANDAR,0,412.07,490.33
0-5 BULAN,LELAKI,JOHOR,TANGKAK,LUAR BANDAR,0,350.92,373.63
0-5 BULAN,LELAKI,KEDAH,BALING,BANDAR,0,254.34,372.7
0-5 BULAN,LELAKI,KEDAH,BALING,LUAR BANDAR,0,195.73,301.26
0-5 BULAN,LELAKI,KEDAH,BANDAR BAHARU,BANDAR,0,202.95,345.36
0-5 BULAN,LELAKI,KEDAH,BANDAR BAHARU,LUAR BANDAR,0,207.35,323.81
0-5 BULAN,LELAKI,KEDAH,KOTA SETAR,BANDAR,0,337.91,472.27
0-5 BULAN,LELAKI,KEDAH,KOTA SETAR,LUAR BANDAR,0,266.68,374.45
0-5 BULAN,LELAKI,KEDAH,KUALA MUDA,BANDAR,0,335.65,397.9
0-5 BULAN,LELAKI,KEDAH,KUALA MUDA,LUAR BANDAR,0,204.39,314.85
0-5 BULAN,LELAKI,KEDAH,KUBANG PASU,BANDAR,0,386.22,459.15
0-5 BULAN,LELAKI,KEDAH,KUBANG PASU,LUAR BANDAR,0,264.62,343.41
0-5 BULAN,LELAKI,KEDAH,KULIM,BANDAR,0,324.06,374.36
0-5 BULAN,LELAKI,KEDAH,KULIM,LUAR BANDAR,0,227.66,358.64
0-5 BULAN,LELAKI,KEDAH,LANGKAWI,BANDAR,0,305.5,319.06
0-5 BULAN,LELAKI,KEDAH,LANGKAWI,LUAR BANDAR,0,317.66,294.14
0-5 BULAN,LELAKI,KEDAH,PADANG TERAP,BANDAR,0,231.58,401.43
0-5 BULAN,LELAKI,KEDAH,PADANG TERAP,LUAR BANDAR,0,231.58,401.43
0-5 BULAN,LELAKI,KEDAH,SIK,BANDAR,0,253.73,424.98
0-5 BULAN,LELAKI,KEDAH,SIK,LUAR BANDAR,0,247.86,344.11
0-5 BULAN,LELAKI,KEDAH,YAN,BANDAR,0,251.36,417.3
0-5 BULAN,LELAKI,KEDAH,YAN,LUAR BANDAR,0,258.38,295.84
0-5 BULAN,LELAKI,KEDAH,PENDANG,BANDAR,0,291.66,379.05
0-5 BULAN,LELAKI,KEDAH,PENDANG,LUAR BANDAR,0,246.43,401.63
0-5 BULAN,LELAKI,KEDAH,POKOK SENA,BANDAR,0,301.62,506.8
0-5 BULAN,LELAKI,KEDAH,POKOK SENA,LUAR BANDAR,0,275.95,427.8
0-5 BULAN,LELAKI,KELANTAN,BACHOK,BANDAR,0,239.71,178.05
0-5 BULAN,LELAKI,KELANTAN,BACHOK,LUAR BANDAR,0,239.71,178.05
0-5 BULAN,LELAKI,KELANTAN,KOTA BHARU,BANDAR,0,339.93,322.09
0-5 BULAN,LELAKI,KELANTAN,KOTA BHARU,LUAR BANDAR,0,257.21,251.89
0-5 BULAN,LELAKI,KELANTAN,MACHANG,BANDAR,0,316.27,315.58
0-5 BULAN,LELAKI,KELANTAN,MACHANG,LUAR BANDAR,0,231.47,183.19
0-5 BULAN,LELAKI,KELANTAN,PASIR MAS,BANDAR,0,267.95,280
0-5 BULAN,LELAKI,KELANTAN,PASIR MAS,LUAR BANDAR,0,254.52,255.09
0-5 BULAN,LELAKI,KELANTAN,PASIR PUTEH,BANDAR,0,306.28,338.66
0-5 BULAN,LELAKI,KELANTAN,PASIR PUTEH,LUAR BANDAR,0,239.96,293.7
0-5 BULAN,LELAKI,KELANTAN,TANAH MERAH,BANDAR,0,268.25,238.22
0-5 BULAN,LELAKI,KELANTAN,TANAH MERAH,LUAR BANDAR,0,215.2,218.79
0-5 BULAN,LELAKI,KELANTAN,TUMPAT,BANDAR,0,279.62,270.33
0-5 BULAN,LELAKI,KELANTAN,TUMPAT,LUAR BANDAR,0,247.66,244.61
0-5 BULAN,LELAKI,KELANTAN,GUA MUSANG,BANDAR,0,278.88,372.74
0-5 BULAN,LELAKI,KELANTAN,GUA MUSANG,LUAR BANDAR,0,249.4,342.57
0-5 BULAN,LELAKI,KELANTAN,KUALA KRAI,BANDAR,0,297.23,385.67
0-5 BULAN,LELAKI,KELANTAN,KUALA KRAI,LUAR BANDAR,0,203.91,212.63
0-5 BULAN,LELAKI,KELANTAN,JELI,BANDAR,0,247.7,255.59
0-5 BULAN,LELAKI,KELANTAN,JELI,LUAR BANDAR,0,247.7,255.59
0-5 BULAN,LELAKI,KELANTAN,JAJAHAN KECIL LOJING,LUAR BANDAR,0,112.86,132.21
0-5 BULAN,LELAKI,MELAKA,ALOR GAJAH,BANDAR,0,403.6,543.76
0-5 BULAN,LELAKI,MELAKA,ALOR GAJAH,LUAR BANDAR,0,312.05,511.84
0-5 BULAN,LELAKI,MELAKA,JASIN,BANDAR,0,330.88,535.33
0-5 BULAN,LELAKI,MELAKA,JASIN,LUAR BANDAR,0,322.44,531.15
0-5 BULAN,LELAKI,MELAKA,MELAKA TENGAH,BANDAR,0,462.82,665.14
0-5 BULAN,LELAKI,NEGERI SEMBILAN,JELEBU,BANDAR,0,343.47,502.58
0-5 BULAN,LELAKI,NEGERI SEMBILAN,JELEBU,LUAR BANDAR,0,343.47,502.58
0-5 BULAN,LELAKI,NEGERI SEMBILAN,KUALA PILAH,BANDAR,0,381.49,481.93
0-5 BULAN,LELAKI,NEGERI SEMBILAN,KUALA PILAH,LUAR BANDAR,0,267.88,434.42
0-5 BULAN,LELAKI,NEGERI SEMBILAN,PORT DICKSON,BANDAR,0,423.9,465.71
0-5 BULAN,LELAKI,NEGERI SEMBILAN,PORT DICKSON,LUAR BANDAR,0,334.87,447.67
0-5 BULAN,LELAKI,NEGERI SEMBILAN,REMBAU,BANDAR,0,487.01,496.96
0-5 BULAN,LELAKI,NEGERI SEMBILAN,REMBAU,LUAR BANDAR,0,363.03,427.71
0-5 BULAN,LELAKI,NEGERI SEMBILAN,SEREMBAN,BANDAR,0,508.49,505.26
0-5 BULAN,LELAKI,NEGERI SEMBILAN,SEREMBAN,LUAR BANDAR,0,390.95,463.65
0-5 BULAN,LELAKI,NEGERI SEMBILAN,TAMPIN,BANDAR,0,396.31,471.35
0-5 BULAN,LELAKI,NEGERI SEMBILAN,TAMPIN,LUAR BANDAR,0,267.08,472.48
0-5 BULAN,LELAKI,NEGERI SEMBILAN,JEMPOL,BANDAR,0,410.04,461.46
0-5 BULAN,LELAKI,NEGERI SEMBILAN,JEMPOL,LUAR BANDAR,0,282.54,393.95
0-5 BULAN,LELAKI,PAHANG,BENTONG,BANDAR,0,469.8,463.94
0-5 BULAN,LELAKI,PAHANG,BENTONG,LUAR BANDAR,0,476.49,447.69
0-5 BULAN,LELAKI,PAHANG,CAMERON HIGHLANDS,BANDAR,0,432.65,419.71
0-5 BULAN,LELAKI,PAHANG,CAMERON HIGHLANDS,LUAR BANDAR,0,494.54,486.52
0-5 BULAN,LELAKI,PAHANG,JERANTUT,BANDAR,0,387.93,456.87
0-5 BULAN,LELAKI,PAHANG,JERANTUT,LUAR BANDAR,0,297.86,434.91
0-5 BULAN,LELAKI,PAHANG,KUANTAN,BANDAR,0,425.09,444.24
0-5 BULAN,LELAKI,PAHANG,KUANTAN,LUAR BANDAR,0,303.28,329.63
0-5 BULAN,LELAKI,PAHANG,LIPIS,BANDAR,0,439.8,507.54
0-5 BULAN,LELAKI,PAHANG,LIPIS,LUAR BANDAR,0,324,389.5
0-5 BULAN,LELAKI,PAHANG,PEKAN,BANDAR,0,329.14,379.48
0-5 BULAN,LELAKI,PAHANG,PEKAN,LUAR BANDAR,0,217.2,366.58
0-5 BULAN,LELAKI,PAHANG,RAUB,BANDAR,0,473.12,455.97
0-5 BULAN,LELAKI,PAHANG,RAUB,LUAR BANDAR,0,368.37,418.89
0-5 BULAN,LELAKI,PAHANG,TEMERLOH,BANDAR,0,431.26,426.69
0-5 BULAN,LELAKI,PAHANG,TEMERLOH,LUAR BANDAR,0,339.18,414.02
0-5 BULAN,LELAKI,PAHANG,ROMPIN,BANDAR,0,367.64,440.2
0-5 BULAN,LELAKI,PAHANG,ROMPIN,LUAR BANDAR,0,340.26,396.62
0-5 BULAN,LELAKI,PAHANG,MARAN,BANDAR,0,388.72,480.06
0-5 BULAN,LELAKI,PAHANG,MARAN,LUAR BANDAR,0,316.41,421.79
0-5 BULAN,LELAKI,PAHANG,BERA,BANDAR,0,466.18,513.28
0-5 BULAN,LELAKI,PAHANG,BERA,LUAR BANDAR,0,302.43,432.97
0-5 BULAN,LELAKI,PULAU PINANG,SEBERANG PERAI TENGAH,BANDAR,0,522.31,507.84
0-5 BULAN,LELAKI,PULAU PINANG,SEBERANG PERAI TENGAH,LUAR BANDAR,0,318.15,300.61
0-5 BULAN,LELAKI,PULAU PINANG,SEBERANG PERAI UTARA,BANDAR,0,479.08,450.28
0-5 BULAN,LELAKI,PULAU PINANG,SEBERANG PERAI UTARA,LUAR BANDAR,0,263.2,317.5
0-5 BULAN,LELAKI,PULAU PINANG,SEBERANG PERAI SELATAN,BANDAR,0,511.92,512.03
0-5 BULAN,LELAKI,PULAU PINANG,SEBERANG PERAI SELATAN,LUAR BANDAR,0,269.96,357.14
0-5 BULAN,LELAKI,PULAU PINANG,TIMUR LAUT,BANDAR,0,863.61,672.63
0-5 BULAN,LELAKI,PULAU PINANG,BARAT DAYA,BANDAR,0,773.25,592.29
0-5 BULAN,LELAKI,PULAU PINANG,BARAT DAYA,LUAR BANDAR,0,652.81,508.44
0-5 BULAN,LELAKI,PERAK,BATANG PADANG,BANDAR,0,383.99,523.82
0-5 BULAN,LELAKI,PERAK,BATANG PADANG,LUAR BANDAR,0,287.87,371.89
0-5 BULAN,LELAKI,PERAK,MANJUNG,BANDAR,0,418.25,407.83
0-5 BULAN,LELAKI,PERAK,MANJUNG,LUAR BANDAR,0,247.15,278.69
0-5 BULAN,LELAKI,PERAK,KINTA,BANDAR,0,436.15,459.7
0-5 BULAN,LELAKI,PERAK,KINTA,LUAR BANDAR,0,434.91,373.91
0-5 BULAN,LELAKI,PERAK,KERIAN,BANDAR,0,279.83,349.44
0-5 BULAN,LELAKI,PERAK,KERIAN,LUAR BANDAR,0,248.51,257.84
0-5 BULAN,LELAKI,PERAK,KUALA KANGSAR,BANDAR,0,314.27,409.41
0-5 BULAN,LELAKI,PERAK,KUALA KANGSAR,LUAR BANDAR,0,285.6,293.49
0-5 BULAN,LELAKI,PERAK,LARUT DAN MATANG,BANDAR,0,371.9,381.52
0-5 BULAN,LELAKI,PERAK,LARUT DAN MATANG,LUAR BANDAR,0,268.76,341.47
0-5 BULAN,LELAKI,PERAK,HILIR PERAK,BANDAR,0,359.33,388.68
0-5 BULAN,LELAKI,PERAK,HILIR PERAK,LUAR BANDAR,0,275.99,274.8
0-5 BULAN,LELAKI,PERAK,HULU PERAK,BANDAR,0,300.36,339.11
0-5 BULAN,LELAKI,PERAK,HULU PERAK,LUAR BANDAR,0,225.73,298.41
0-5 BULAN,LELAKI,PERAK,PERAK TENGAH,BANDAR,0,435.12,483.07
0-5 BULAN,LELAKI,PERAK,PERAK TENGAH,LUAR BANDAR,0,261.64,316.95
0-5 BULAN,LELAKI,PERAK,KAMPAR,BANDAR,0,335.91,425.08
0-5 BULAN,LELAKI,PERAK,KAMPAR,LUAR BANDAR,0,239.18,368
0-5 BULAN,LELAKI,PERAK,MUALLIM,BANDAR,0,363.79,513.94
0-5 BULAN,LELAKI,PERAK,MUALLIM,LUAR BANDAR,0,296.46,360.75
0-5 BULAN,LELAKI,PERAK,BAGAN DATUK,BANDAR,0,340.55,371.07
0-5 BULAN,LELAKI,PERAK,BAGAN DATUK,LUAR BANDAR,0,267.17,326.49
0-5 BULAN,LELAKI,PERAK,SELAMA,LUAR BANDAR,0,305.59,321.17
0-5 BULAN,LELAKI,PERLIS,PERLIS,BANDAR,0,311.5,409.91
0-5 BULAN,LELAKI,PERLIS,PERLIS,LUAR BANDAR,0,282.07,370.31
0-5 BULAN,LELAKI,SELANGOR,GOMBAK,BANDAR,0,596.96,547.96
0-5 BULAN,LELAKI,SELANGOR,GOMBAK,LUAR BANDAR,0,319.67,425.64
0-5 BULAN,LELAKI,SELANGOR,KLANG,BANDAR,0,653.59,554.16
0-5 BULAN,LELAKI,SELANGOR,KLANG,LUAR BANDAR,0,338.34,341.62
0-5 BULAN,LELAKI,SELANGOR,KUALA LANGAT,BANDAR,0,638.4,505.78
0-5 BULAN,LELAKI,SELANGOR,KUALA LANGAT,LUAR BANDAR,0,599.08,474.26
0-5 BULAN,LELAKI,SELANGOR,KUALA SELANGOR,BANDAR,0,645.55,532.85
0-5 BULAN,LELAKI,SELANGOR,KUALA SELANGOR,LUAR BANDAR,0,442.82,497.74
0-5 BULAN,LELAKI,SELANGOR,PETALING,BANDAR,0,905.22,705.96
0-5 BULAN,LELAKI,SELANGOR,SABAK BERNAM,BANDAR,0,489.32,479.7
0-5 BULAN,LELAKI,SELANGOR,SABAK BERNAM,LUAR BANDAR,0,489.75,462.5
0-5 BULAN,LELAKI,SELANGOR,SEPANG,BANDAR,0,863.28,600.67
0-5 BULAN,LELAKI,SELANGOR,SEPANG,LUAR BANDAR,0,679.75,612.54
0-5 BULAN,LELAKI,SELANGOR,HULU LANGAT,BANDAR,0,757.28,507.71
0-5 BULAN,LELAKI,SELANGOR,HULU LANGAT,LUAR BANDAR,0,535.03,404.23
0-5 BULAN,LELAKI,SELANGOR,HULU SELANGOR,BANDAR,0,388.23,459.77
0-5 BULAN,LELAKI,SELANGOR,HULU SELANGOR,LUAR BANDAR,0,444.95,511.52
0-5 BULAN,LELAKI,TERENGGANU,BESUT,BANDAR,0,262.31,347
0-5 BULAN,LELAKI,TERENGGANU,BESUT,LUAR BANDAR,0,271.75,291.97
0-5 BULAN,LELAKI,TERENGGANU,DUNGUN,BANDAR,0,370.77,384.93
0-5 BULAN,LELAKI,TERENGGANU,DUNGUN,LUAR BANDAR,0,288.77,324.99
0-5 BULAN,LELAKI,TERENGGANU,KEMAMAN,BANDAR,0,419.25,433.44
0-5 BULAN,LELAKI,TERENGGANU,KEMAMAN,LUAR BANDAR,0,346.68,389.74
0-5 BULAN,LELAKI,TERENGGANU,KUALA TERENGGANU,BANDAR,0,338.88,348.9
0-5 BULAN,LELAKI,TERENGGANU,KUALA TERENGGANU,LUAR BANDAR,0,348.19,289.51
0-5 BULAN,LELAKI,TERENGGANU,MARANG,BANDAR,0,352.87,366.69
0-5 BULAN,LELAKI,TERENGGANU,MARANG,LUAR BANDAR,0,362.4,359.33
0-5 BULAN,LELAKI,TERENGGANU,HULU TERENGGANU,BANDAR,0,390.85,524.76
0-5 BULAN,LELAKI,TERENGGANU,HULU TERENGGANU,LUAR BANDAR,0,339.34,351.37
0-5 BULAN,LELAKI,TERENGGANU,SETIU,BANDAR,0,363.37,391.55
0-5 BULAN,LELAKI,TERENGGANU,SETIU,LUAR BANDAR,0,262.59,335.9
0-5 BULAN,LELAKI,TERENGGANU,KUALA NERUS,BANDAR,0,376.43,441.8
0-5 BULAN,LELAKI,TERENGGANU,KUALA NERUS,LUAR BANDAR,0,335.76,383.52
0-5 BULAN,LELAKI,SABAH,TAWAU,BANDAR,0,531.63,302.95
0-5 BULAN,LELAKI,SABAH,TAWAU,LUAR BANDAR,0,358,238.63
0-5 BULAN,LELAKI,SABAH,LAHAD DATU,BANDAR,0,377.56,334.84
0-5 BULAN,LELAKI,SABAH,LAHAD DATU,LUAR BANDAR,0,318.41,301.88
0-5 BULAN,LELAKI,SABAH,SEMPORNA,BANDAR,0,398.31,250.53
0-5 BULAN,LELAKI,SABAH,SEMPORNA,LUAR BANDAR,0,261.66,169.91
0-5 BULAN,LELAKI,SABAH,SANDAKAN,BANDAR,0,504.79,320.4
0-5 BULAN,LELAKI,SABAH,SANDAKAN,LUAR BANDAR,0,349.88,177.77
0-5 BULAN,LELAKI,SABAH,KINABATANGAN,BANDAR,0,372.44,274.52
0-5 BULAN,LELAKI,SABAH,KINABATANGAN,LUAR BANDAR,0,385.91,211.61
0-5 BULAN,LELAKI,SABAH,BELURAN,LUAR BANDAR,0,298.65,298.65
0-5 BULAN,LELAKI,SABAH,KOTA KINABALU,BANDAR,0,586.49,407.64
0-5 BULAN,LELAKI,SABAH,KOTA KINABALU,LUAR BANDAR,0,295.6,313.37
0-5 BULAN,LELAKI,SABAH,RANAU,BANDAR,0,394.06,297.73
0-5 BULAN,LELAKI,SABAH,RANAU,LUAR BANDAR,0,353.67,285.84
0-5 BULAN,LELAKI,SABAH,KOTA BELUD,BANDAR,0,472.75,338.03
0-5 BULAN,LELAKI,SABAH,KOTA BELUD,LUAR BANDAR,0,355.15,244.97
0-5 BULAN,LELAKI,SABAH,TUARAN,BANDAR,0,404.55,361.95
0-5 BULAN,LELAKI,SABAH,TUARAN,LUAR BANDAR,0,429.08,298.57
0-5 BULAN,LELAKI,SABAH,PENAMPANG,BANDAR,0,579.68,469.71
0-5 BULAN,LELAKI,SABAH,PENAMPANG,LUAR BANDAR,0,392.78,381.48
0-5 BULAN,LELAKI,SABAH,PAPAR,BANDAR,0,459.96,324.4
0-5 BULAN,LELAKI,SABAH,PAPAR,LUAR BANDAR,0,401.72,264.52
0-5 BULAN,LELAKI,SABAH,KUDAT,BANDAR,0,451.79,361.03
0-5 BULAN,LELAKI,SABAH,KUDAT,LUAR BANDAR,0,281.55,285.86
0-5 BULAN,LELAKI,SABAH,KOTA MARUDU,BANDAR,0,412.84,320.49
0-5 BULAN,LELAKI,SABAH,KOTA MARUDU,LUAR BANDAR,0,345.26,204.51
0-5 BULAN,LELAKI,SABAH,PITAS,BANDAR,0,512.27,360.31
0-5 BULAN,LELAKI,SABAH,PITAS,LUAR BANDAR,0,303.02,279.16
0-5 BULAN,LELAKI,SABAH,BEAUFORT,BANDAR,0,512.11,408.57
0-5 BULAN,LELAKI,SABAH,BEAUFORT,LUAR BANDAR,0,385.81,241.32
0-5 BULAN,LELAKI,SABAH,KUALA PENYU,LUAR BANDAR,0,399.45,405.07
0-5 BULAN,LELAKI,SABAH,SIPITANG,BANDAR,0,398.49,342.26
0-5 BULAN,LELAKI,SABAH,SIPITANG,LUAR BANDAR,0,476.04,334.25
0-5 BULAN,LELAKI,SABAH,TENOM,BANDAR,0,512.27,360.31
0-5 BULAN,LELAKI,SABAH,TENOM,LUAR BANDAR,0,374.29,291.79
